page_id,candidate_id,source_url,semantic_provenance,terminal_state,model_support_recommendation,page_result,candidate_hazard_support,realized_impact_support,attribution_support,transition_support,baseline_page_result
rawce_a6daeb187571b5db__ec6c271d64cf93a667d1,rawce_a6daeb187571b5db,https://www.weather.gov/media/hnx/E5_HNX_2023_01.pdf,frozen_original_110,ok,supports,supports,yes,no,no,no,supports
rawce_a6daeb187571b5db__bd13948df6f0bee71f1e,rawce_a6daeb187571b5db,https://www.kvpr.org/live-updates/a-storm-is-hitting-the-fresno-area-here-are-ways-to-track-it-and-stay-out-of-it,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_5582115b8e65510e__5bbe6a03ff4a4d7a5b67,rawce_5582115b8e65510e,https://www.placer.ca.gov/9243/Flooding,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_5582115b8e65510e__6e890057d799a872724b,rawce_5582115b8e65510e,https://www.placer.ca.gov/civicalerts.aspx?ARC=L&What=1&CC=0&intArchCatID=14&From=CID%3D14,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_76f8414f254ca20f__879c642aab16b26f8b8e,rawce_76f8414f254ca20f,https://www.youtube.com/watch?v=oMlMFME6aMU,frozen_original_110,ok,needs_review,unresolved,unresolved,no,no,no,unresolved
rawce_76f8414f254ca20f__58b30663ff041f6ee030,rawce_76f8414f254ca20f,https://in.nau.edu/department-geography-planning-recreation/wp-content/uploads/sites/351/Nikki-Maraviglia-Thesis-2024.pdf,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_a05b6c8386097203__406b5f2ad17e4bf3619f,rawce_a05b6c8386097203,https://science.nasa.gov/earth/earth-observatory/floodwater-inundates-north-central-california-150792,frozen_original_110,ok,supports,supports,yes,yes,yes,no,supports
rawce_a05b6c8386097203__8f66f8bced99e4200099,rawce_a05b6c8386097203,https://www.kcra.com/article/northern-california-january-2023-storms-response/46301535,frozen_original_110,ok,supports,supports,yes,yes,yes,no,supports
rawce_62025560c3a993a7__8d7de19646e771540fa8,rawce_62025560c3a993a7,https://www.nbcsandiego.com/news/local/late-summer-monsoon-leads-to-flash-flooding-rescues-in-imperial-county/3298104,frozen_original_110,ok,supports,supports,yes,yes,yes,no,supports
rawce_62025560c3a993a7__a014f94b699de3c1157d,rawce_62025560c3a993a7,https://www.kpbs.org/news/environment/2025/08/26/monsoon-storms-strike-the-imperial-valley-leaving-hundreds-without-power,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_05b52a80e2289be0__4875c2ff26fb30b41c1d,rawce_05b52a80e2289be0,https://tcpw.ca.gov/road-closures,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_05b52a80e2289be0__2f5500500e07538be9a5,rawce_05b52a80e2289be0,https://tehamacountywater.org/flood-control/emergency-information,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_fb6b000b5c571bf6__17d69a2e15675620f656,rawce_fb6b000b5c571bf6,https://www.cbsnews.com/live-updates/california-storm-power-outages-deadly-flooding-evacuations,frozen_original_110,ok,supports,supports,yes,yes,yes,no,supports
rawce_fb6b000b5c571bf6__ad1f3c576dd0fb538387,rawce_fb6b000b5c571bf6,https://www.coreresponse.org/our-work/california/floods,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_90bee0bf1f3ac93c__048e131f6ae658f6c4d5,rawce_90bee0bf1f3ac93c,https://floodlist.com/america/usa/economic-losses-california-floods-january-2023,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_90bee0bf1f3ac93c__fcaa9e84fff159df7189,rawce_90bee0bf1f3ac93c,https://www.fema.gov/disaster-federal-register-notice/dr-4683-4699-4750-4769-ca-cumulative-final-public-notice,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_475732448c9aad0f__8832fe49ea715e172237,rawce_475732448c9aad0f,https://www.inyocounty.us/services/public-works/news/inyo-county-road-openclosed-status,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_87f9ffd78716659a__4cc4d544386f44b2d0cf,rawce_87f9ffd78716659a,https://cms6.revize.com/revize/sanjuanbautistaca/document_center/Departments/Law%20Enforcement/LHMP%202022.pdf,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_87f9ffd78716659a__631eeb77c56170516ca1,rawce_87f9ffd78716659a,https://sanbenito.com/storm-soaks-san-benito-county,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_770aa141bb15cdb7__86c799635587aa7f7a21,rawce_770aa141bb15cdb7,https://www.sacbee.com/community/yolo/article314885266.html,frozen_original_110,ok,does_not_support,unresolved,no,unresolved,no,no,unresolved
rawce_770aa141bb15cdb7__a586ce35e5cec239f640,rawce_770aa141bb15cdb7,https://storymaps.arcgis.com/stories/9d7c29938ec84e0699264fd4a0747e14,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_a94472747c9c47e7__88fdcf6e56c4f3631619,rawce_a94472747c9c47e7,https://agri.assembly.ca.gov/sites/agri.assembly.ca.gov/files/New%20doc%20for%20website.pdf,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_a94472747c9c47e7__62d858e67dd3633290a5,rawce_a94472747c9c47e7,https://ci.carmel.ca.us/post/2023-winter-stormatmospheric-river-0,frozen_original_110,incomplete,,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_9d5649929a20ea52__7b7a4e2dcb43ceae8431,rawce_9d5649929a20ea52,http://lofgren.house.gov/2023-winter-storm,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_9d5649929a20ea52__9b518932df3046b74176,rawce_9d5649929a20ea52,https://www.vta.org/sites/default/files/2023-10/ApdxD_508.pdf,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_6cd112cae399b1f0__de0ff93e97636459323a,rawce_6cd112cae399b1f0,https://wsm.ucmerced.edu/wp-content/uploads/2022/11/Economic_Impact_CA_Drought_V01.pdf,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_6cd112cae399b1f0__0d4890d00a50a3187a46,rawce_6cd112cae399b1f0,https://www.ncei.noaa.gov/access/billions/state-summary/CA,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_4bf79b6425224863__f5ddc38accdd11a9af73,rawce_4bf79b6425224863,https://www.youtube.com/watch?v=efG5yQbVke8,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_4bf79b6425224863__330c32856041d6a169eb,rawce_4bf79b6425224863,https://www.drought.gov/drought-status-updates/special-edition-drought-status-update-western-united-states-2023-01-24,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_ededdeb35298a3ec__3961eef4f30338f81949,rawce_ededdeb35298a3ec,https://www.countynewscenter.com/county-issues-emergency-proclamation-after-storm-causes-flooding-damage,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_ededdeb35298a3ec__bc3582678d90dfab4e34,rawce_ededdeb35298a3ec,https://www.alertsandiego.org/content/dam/alertsandiego/preparedness/en/aar/County%20of%20San%20Diego%20DR-4758-CA%20After%20Action%20Report_11.8.24.pdf,frozen_original_110,ok,needs_review,unresolved,no,no,no,no,unresolved
rawce_8c67c26f7709ce24__624bb13da662e7e50b64,rawce_8c67c26f7709ce24,https://www.facebook.com/inyonf/posts/road-closure-updates-from-inyo-county/781290197369255,native_targeted_rerun,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_8c67c26f7709ce24__ab909815d20da458b4c7,rawce_8c67c26f7709ce24,https://www.gov.ca.gov/wp-content/uploads/2024/03/3.22.24-MDD-request-for-early-Feb.-storms.pdf,native_targeted_rerun,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_91c4a9f4fd97418d__27c53e6d28574123bc48,rawce_91c4a9f4fd97418d,https://rivco.gov/news/county-riverside-proclaims-local-emergency-response-damage-tropical-storm-hilary,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_91c4a9f4fd97418d__5429f3964a32a7d79e28,rawce_91c4a9f4fd97418d,https://rivco.gov/news/county-riverside-proclaims-local-emergency-response-flooding-and-leak-unknown-materials,frozen_original_110,ok,supports,supports,yes,yes,yes,no,supports
rawce_d610913be60ce835__77a5c860a813449cca17,rawce_d610913be60ce835,https://www.chds.us/c/timeline/22-23-ca-floods,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,no,no,unresolved
rawce_23deaaac0213a94a__ae4ff73cfca893fc68e1,rawce_23deaaac0213a94a,https://www.placer.ca.gov/9241/Power-Outages,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_23deaaac0213a94a__044f4e208293bcbd664d,rawce_23deaaac0213a94a,https://www.drought.gov/drought-status-updates/california-nevada-drought-status-update-10-18-22,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_be5102120f205a68__7a67581d4cb33173723e,rawce_be5102120f205a68,https://www.sanluisobispo.com/news/weather-news/article248835324.html,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_be5102120f205a68__b64985294f6d7fcbe64a,rawce_be5102120f205a68,https://thebusinessjournal.com/fresno-county-issues-state-of-emergency-in-response-to-winter-storms,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_f8ac636ad3ead17a__0046f0ea621837488a7d,rawce_f8ac636ad3ead17a,http://panetta.house.gov/2023-winter-storm-resources,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_f8ac636ad3ead17a__12b5a44de7c92d9223fa,rawce_f8ac636ad3ead17a,https://abc7news.com/post/san-francisco-bay-area-flood-watch-storm-damage-atmospheric-river/12709173,frozen_original_110,incomplete,,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
rawce_9bcb7ffc0960f54f__fdc88c1e242e5920da1d,rawce_9bcb7ffc0960f54f,https://water.ca.gov/News/News-Releases/2025/Oct-25/DWR-Highlights-Key-Actions-to-Prepare-for-Flooding-Extreme-Weather-During-Flood-Preparedness-Week,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_9bcb7ffc0960f54f__a5839092315192b23a00,rawce_9bcb7ffc0960f54f,https://www.drought.gov/states/california,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_b9309410c1ead41a__4dfc2ca39208f3af5fac,rawce_b9309410c1ead41a,https://www.instagram.com/reel/DSk3KbaiCY2?hl=en,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_b9309410c1ead41a__ad841a9b7c301d92605a,rawce_b9309410c1ead41a,https://www.kcra.com/article/redding-flash-flooding-shasta-county-emergency/69843007,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_ad155787d06a9d0c__a3dc76422211c8d73ce1,rawce_ad155787d06a9d0c,https://journals.ametsoc.org/view/journals/bams/105/1/BAMS-D-22-0208.1.xml,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_37fd8be9ff47459e__a23f85fcc2f90bd3fac8,rawce_37fd8be9ff47459e,https://www.nbclosangeles.com/weather-news/storm-rain-snow-winter-weather-la-county-5-freeway/2787471,frozen_original_110,ok,does_not_support,unresolved,no,no,no,no,unresolved
rawce_37fd8be9ff47459e__8b7d26495d28547193db,rawce_37fd8be9ff47459e,https://www.inyocounty.us/government/board-supervisors/news/storm-recovery-efforts-continue,native_targeted_rerun,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_562241dbd09d9b4b__239ecc4a08898b4c1aa5,rawce_562241dbd09d9b4b,https://agents.floodsmart.gov/articles/looking-back-2021-atmospheric-rivers,v1_targeted_rerun,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_0b7d694e86814201__ded0663c4d8da58a7d02,rawce_0b7d694e86814201,https://www.youtube.com/watch?v=PCrENryWq-c,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_113fe482f48a3a96__0eada5bd44fce0b7782c,rawce_113fe482f48a3a96,https://www.contracosta.ca.gov/CivicAlerts.aspx?AID=4282,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_113fe482f48a3a96__59c5412533138b027a20,rawce_113fe482f48a3a96,https://www.facebook.com/CaltransBayAreaD4/posts/-contra-costa-county-overnight-full-closures-are-scheduled-on-state-route-4-mars/969571105444083,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_bb1b9f9362a3227c__d19ce746bd48704448da,rawce_bb1b9f9362a3227c,https://water.ca.gov/water-basics/drought,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_bb1b9f9362a3227c__cb7ffbfbfce4e39d1997,rawce_bb1b9f9362a3227c,https://www.drought.gov/drought-status-updates/california-nevada-drought-status-update-2023-10-19,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_60e864d8d47a251a__eb9796720adf00b5f0cb,rawce_60e864d8d47a251a,https://www.kcra.com/article/storm-coverage-northern-california-january-11/42460450,frozen_original_110,ok,does_not_support,unresolved,no,no,no,no,unresolved
rawce_60e864d8d47a251a__b765d456b04246674d42,rawce_60e864d8d47a251a,https://www.youtube.com/watch?v=5zS8RsgPoEI,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_b859bb1b2a5040d6__06e70ea187a563966754,rawce_b859bb1b2a5040d6,https://timesofsandiego.com/life/2025/12/24/power-outages-san-diego-holiday-storm,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_b859bb1b2a5040d6__b333e48a9dc0b248512c,rawce_b859bb1b2a5040d6,https://engage.sandiegocounty.gov/emergency-operations-plan,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_a062fb0f4ef308b4__1f1ad6e2f1d852b1b778,rawce_a062fb0f4ef308b4,https://www.countyofmonterey.gov/residents/alerts-notifications/road-conditions,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_a062fb0f4ef308b4__1344c482e1c80923b639,rawce_a062fb0f4ef308b4,https://www.ksbw.com/article/damage-power-outages-road-closures-christmas-storm/69864026,frozen_original_110,ok,does_not_support,unresolved,no,no,no,no,unresolved
rawce_cad3947a45ad7f7c__a43c6aeb79b8a65250d6,rawce_cad3947a45ad7f7c,https://www.kcra.com/article/tuolumne-county-declares-state-of-emergency-storm/70524556,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_5070c3121ad54300__126390549a097decb781,rawce_5070c3121ad54300,https://poweroutage.us/area/county/3048,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_5070c3121ad54300__63cb71cfaebede25a74f,rawce_5070c3121ad54300,https://www.ijpr.org/weather/2021-01-27/tens-of-thousands-without-power-as-winter-storm-pummels-northern-california,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
rawce_6ea445f33da9fa1e__585de97f17d8f6892948,rawce_6ea445f33da9fa1e,https://ceqanet.lci.ca.gov/2024051057,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_6ea445f33da9fa1e__b194280be8d256a7abb4,rawce_6ea445f33da9fa1e,https://www.kvpr.org/local-news/2023-03-14/tulare-county-communities-inundated-as-atmospheric-rivers-drench-state,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_4474aacc457cfc3b__761393b6ef82f25efd53,rawce_4474aacc457cfc3b,https://www.facebook.com/bakersfieldnow/posts/drought-conditions-across-california-including-kern-county-have-improved-thanks-/10160916793464935,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
rawce_4474aacc457cfc3b__cee6a46106232a0b36fe,rawce_4474aacc457cfc3b,https://kerncountyfire.org/education-safety/emergency-plans,frozen_original_110,ok,does_not_support,does_not_support,no,no,no,no,does_not_support
