demo_group,candidate_id,county,fips,year,drought_start,drought_end_month_end,rain_start,rain_end,lag_days,lag_bin,drought_severity,min_spei,rainfall_days,rainfall_grid_count,spatial_match_strength,weak_drought_flag,weak_rainfall_flag,old_positive_label_if_any,sampling_seed,notes
positive_22,rawce_87f9ffd78716659a,San Benito County,06069,2021,2020-08,2020-12-31,2021-01-27,2021-01-30,27,8_30,Extreme,-4.111,4,5,same_grid,false,false,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_770aa141bb15cdb7,Yolo County,06113,2022,2022-02,2022-10-31,2022-12-31,2023-01-01,61,61_90,Extreme,-2.6936,2,1,same_grid,false,true,strong_ce_with_impact,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_a94472747c9c47e7,Monterey County,06053,2023,2022-02,2022-10-31,2023-01-09,2023-01-11,70,61_90,Extreme,-3.3157,3,16,same_grid,false,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_9d5649929a20ea52,Santa Clara County,06085,2022,2022-03,2022-10-31,2022-12-31,2023-01-02,61,61_90,Extreme,-2.8453,3,3,same_grid,false,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_6cd112cae399b1f0,Madera County,06039,2022,2022-02,2022-10-31,2022-12-31,2023-01-02,61,61_90,Extreme,-2.7362,3,7,same_grid,false,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_4bf79b6425224863,Madera County,06039,2023,2022-02,2022-10-31,2023-01-09,2023-01-11,70,61_90,Extreme,-2.7362,3,8,same_grid,false,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_ededdeb35298a3ec,San Diego County,06073,2024,2023-12,2023-12-31,2024-02-05,2024-02-08,36,31_60,Moderate,-1.0042,4,12,same_grid,true,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_8c67c26f7709ce24,Inyo County,06027,2024,2023-12,2024-01-31,2024-02-04,2024-02-09,4,1_7,Severe,-1.7198,6,38,same_grid,true,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_91c4a9f4fd97418d,Riverside County,06065,2023,2023-07,2023-08-31,2023-09-01,2023-09-04,1,1_7,Extreme,-2.0834,4,20,same_grid,false,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_d610913be60ce835,El Dorado County,06017,2022,2022-07,2022-10-31,2022-12-31,2023-01-02,61,61_90,Moderate,-1.3563,3,6,same_grid,true,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_23deaaac0213a94a,Placer County,06061,2022,2022-02,2022-10-31,2022-12-31,2023-01-02,61,61_90,Extreme,-2.3586,3,7,same_grid,false,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
positive_22,rawce_be5102120f205a68,Fresno County,06019,2021,2020-07,2020-12-31,2021-01-27,2021-01-30,27,8_30,Extreme,-4.1092,4,27,same_grid,false,false,ce_event_supported_impact_partial,20260705,"fixed positive_22 tranche; old label is provenance only, not current label"
random_18,rawce_f8ac636ad3ead17a,Santa Clara County,06085,2023,2022-03,2022-10-31,2023-01-05,2023-01-06,66,61_90,Extreme,-2.8453,2,2,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_9bcb7ffc0960f54f,Mariposa County,06043,2025,2024-07,2024-11-30,2025-02-13,2025-02-15,75,61_90,Extreme,-2.3024,3,8,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_b9309410c1ead41a,Shasta County,06089,2023,2022-10,2022-11-30,2023-01-07,2023-01-11,38,31_60,Moderate,-1.4765,5,15,same_grid,true,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_ad155787d06a9d0c,Los Angeles County,06037,2022,2022-03,2022-08-31,2022-11-09,2022-11-09,70,61_90,Extreme,-8.2221,1,5,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_37fd8be9ff47459e,Inyo County,06027,2021,2021-11,2021-11-30,2021-12-23,2021-12-26,23,8_30,Moderate,-1.3056,4,11,same_county_near_grid,true,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_562241dbd09d9b4b,Mariposa County,06043,2021,2020-08,2020-12-31,2021-01-28,2021-01-30,28,8_30,Extreme,-3.7195,3,8,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_0b7d694e86814201,Placer County,06061,2022,2022-02,2022-10-31,2022-12-11,2022-12-12,41,31_60,Extreme,-2.3586,2,3,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_113fe482f48a3a96,Contra Costa County,06013,2024,2024-07,2024-10-31,2024-12-14,2024-12-16,44,31_60,Extreme,-3.0322,3,4,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_bb1b9f9362a3227c,Kings County,06031,2024,2023-11,2023-12-31,2024-02-06,2024-02-07,37,31_60,Moderate,-1.2028,2,3,same_grid,true,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_ca434870b4e3aee0,Fresno County,06019,2023,2022-02,2022-11-30,2023-01-05,2023-01-06,36,31_60,Extreme,-2.8205,2,5,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_60e864d8d47a251a,Yuba County,06115,2023,2022-02,2022-10-31,2023-01-09,2023-01-11,70,61_90,Extreme,-2.4856,3,3,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_b859bb1b2a5040d6,San Diego County,06073,2025,2024-07,2025-02-28,2025-03-13,2025-03-15,13,8_30,Extreme,-4.606,3,2,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_a062fb0f4ef308b4,Monterey County,06053,2021,2020-08,2021-09-30,2021-12-14,2021-12-16,75,61_90,Extreme,-4.4374,3,14,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_cad3947a45ad7f7c,Tuolumne County,06109,2024,2023-12,2023-12-31,2024-03-02,2024-03-04,62,61_90,Moderate,-1.3142,3,8,same_grid,true,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_5070c3121ad54300,Inyo County,06027,2021,2020-07,2021-09-30,2021-12-14,2021-12-16,75,61_90,Extreme,-4.4337,3,26,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_6ea445f33da9fa1e,Tulare County,06107,2023,2022-03,2022-11-30,2023-01-15,2023-01-17,46,31_60,Extreme,-2.9473,3,18,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_4474aacc457cfc3b,Kern County,06029,2023,2022-02,2022-11-30,2023-01-01,2023-01-01,32,31_60,Extreme,-2.6854,1,2,same_grid,false,false,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
random_18,rawce_4747396341aee37e,Tulare County,06107,2022,2022-03,2022-11-30,2022-12-04,2022-12-04,4,1_7,Extreme,-2.9473,1,1,same_grid,false,true,,20260705,random_18 sampled from frozen current primary 408 excluding positive_22; no old label used
