page_id,candidate_id,source_url,semantic_provenance,terminal_state,model_support_recommendation,page_result,candidate_hazard_support,realized_impact_support,attribution_support,transition_support,previous_page_result
rawce_62025560c3a993a7__a014f94b699de3c1157d,rawce_62025560c3a993a7,https://www.kpbs.org/news/environment/2025/08/26/monsoon-storms-strike-the-imperial-valley-leaving-hundreds-without-power,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_05b52a80e2289be0__4875c2ff26fb30b41c1d,rawce_05b52a80e2289be0,https://tcpw.ca.gov/road-closures,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_fb6b000b5c571bf6__ad1f3c576dd0fb538387,rawce_fb6b000b5c571bf6,https://www.coreresponse.org/our-work/california/floods,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_90bee0bf1f3ac93c__048e131f6ae658f6c4d5,rawce_90bee0bf1f3ac93c,https://floodlist.com/america/usa/economic-losses-california-floods-january-2023,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_90bee0bf1f3ac93c__fcaa9e84fff159df7189,rawce_90bee0bf1f3ac93c,https://www.fema.gov/disaster-federal-register-notice/dr-4683-4699-4750-4769-ca-cumulative-final-public-notice,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_87f9ffd78716659a__4cc4d544386f44b2d0cf,rawce_87f9ffd78716659a,https://cms6.revize.com/revize/sanjuanbautistaca/document_center/Departments/Law%20Enforcement/LHMP%202022.pdf,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_770aa141bb15cdb7__86c799635587aa7f7a21,rawce_770aa141bb15cdb7,https://www.sacbee.com/community/yolo/article314885266.html,frozen_original_110,ok,does_not_support,unresolved,no,unresolved,no,no,unresolved
rawce_a94472747c9c47e7__88fdcf6e56c4f3631619,rawce_a94472747c9c47e7,https://agri.assembly.ca.gov/sites/agri.assembly.ca.gov/files/New%20doc%20for%20website.pdf,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_a94472747c9c47e7__62d858e67dd3633290a5,rawce_a94472747c9c47e7,https://ci.carmel.ca.us/post/2023-winter-stormatmospheric-river-0,frozen_original_110,incomplete,,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_9d5649929a20ea52__7b7a4e2dcb43ceae8431,rawce_9d5649929a20ea52,http://lofgren.house.gov/2023-winter-storm,frozen_original_110,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_9d5649929a20ea52__9b518932df3046b74176,rawce_9d5649929a20ea52,https://www.vta.org/sites/default/files/2023-10/ApdxD_508.pdf,frozen_original_110,not_requested_unusable_source,,insufficient_source_content,no,no,no,no,insufficient_source_content
rawce_6cd112cae399b1f0__0d4890d00a50a3187a46,rawce_6cd112cae399b1f0,https://www.ncei.noaa.gov/access/billions/state-summary/CA,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_4bf79b6425224863__f5ddc38accdd11a9af73,rawce_4bf79b6425224863,https://www.youtube.com/watch?v=efG5yQbVke8,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_4bf79b6425224863__330c32856041d6a169eb,rawce_4bf79b6425224863,https://www.drought.gov/drought-status-updates/special-edition-drought-status-update-western-united-states-2023-01-24,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_ededdeb35298a3ec__bc3582678d90dfab4e34,rawce_ededdeb35298a3ec,https://www.alertsandiego.org/content/dam/alertsandiego/preparedness/en/aar/County%20of%20San%20Diego%20DR-4758-CA%20After%20Action%20Report_11.8.24.pdf,frozen_original_110,ok,needs_review,unresolved,no,no,no,no,unresolved
rawce_8c67c26f7709ce24__624bb13da662e7e50b64,rawce_8c67c26f7709ce24,https://www.facebook.com/inyonf/posts/road-closure-updates-from-inyo-county/781290197369255,native_targeted_rerun,ok,supports,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_8c67c26f7709ce24__ab909815d20da458b4c7,rawce_8c67c26f7709ce24,https://www.gov.ca.gov/wp-content/uploads/2024/03/3.22.24-MDD-request-for-early-Feb.-storms.pdf,native_targeted_rerun,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_91c4a9f4fd97418d__27c53e6d28574123bc48,rawce_91c4a9f4fd97418d,https://rivco.gov/news/county-riverside-proclaims-local-emergency-response-damage-tropical-storm-hilary,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_d610913be60ce835__77a5c860a813449cca17,rawce_d610913be60ce835,https://www.chds.us/c/timeline/22-23-ca-floods,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,no,no,unresolved
rawce_f8ac636ad3ead17a__0046f0ea621837488a7d,rawce_f8ac636ad3ead17a,http://panetta.house.gov/2023-winter-storm-resources,frozen_original_110,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_f8ac636ad3ead17a__12b5a44de7c92d9223fa,rawce_f8ac636ad3ead17a,https://abc7news.com/post/san-francisco-bay-area-flood-watch-storm-damage-atmospheric-river/12709173,frozen_original_110,incomplete,,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
rawce_37fd8be9ff47459e__a23f85fcc2f90bd3fac8,rawce_37fd8be9ff47459e,https://www.nbclosangeles.com/weather-news/storm-rain-snow-winter-weather-la-county-5-freeway/2787471,frozen_original_110,ok,does_not_support,unresolved,no,no,no,no,unresolved
rawce_37fd8be9ff47459e__8b7d26495d28547193db,rawce_37fd8be9ff47459e,https://www.inyocounty.us/government/board-supervisors/news/storm-recovery-efforts-continue,native_targeted_rerun,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_562241dbd09d9b4b__239ecc4a08898b4c1aa5,rawce_562241dbd09d9b4b,https://agents.floodsmart.gov/articles/looking-back-2021-atmospheric-rivers,native_targeted_rerun,ok,needs_review,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_60e864d8d47a251a__eb9796720adf00b5f0cb,rawce_60e864d8d47a251a,https://www.kcra.com/article/storm-coverage-northern-california-january-11/42460450,frozen_original_110,ok,does_not_support,unresolved,no,no,no,no,unresolved
rawce_a062fb0f4ef308b4__1344c482e1c80923b639,rawce_a062fb0f4ef308b4,https://www.ksbw.com/article/damage-power-outages-road-closures-christmas-storm/69864026,frozen_original_110,ok,does_not_support,unresolved,no,no,no,no,unresolved
rawce_6ea445f33da9fa1e__585de97f17d8f6892948,rawce_6ea445f33da9fa1e,https://ceqanet.lci.ca.gov/2024051057,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_6ea445f33da9fa1e__b194280be8d256a7abb4,rawce_6ea445f33da9fa1e,https://www.kvpr.org/local-news/2023-03-14/tulare-county-communities-inundated-as-atmospheric-rivers-drench-state,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,no,unresolved
rawce_4474aacc457cfc3b__761393b6ef82f25efd53,rawce_4474aacc457cfc3b,https://www.facebook.com/bakersfieldnow/posts/drought-conditions-across-california-including-kern-county-have-improved-thanks-/10160916793464935,frozen_original_110,ok,does_not_support,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
